t,wt,ql,sd
1250.0,153.2445652173913,6.25,4.1273391794171514
1255.0,149.4835164835165,6.4375,4.244939672015192
1260.0,149.18994413407822,6.375,4.117425046155277
1265.0,148.95977011494253,6.4375,3.654495572506397
1270.0,146.7251461988304,6.5,3.5296592943702216
1275.0,140.62146892655366,6.875,3.333447526556446
1280.0,142.6551724137931,6.75,3.109329139845953
1285.0,145.8793103448276,6.5625,3.063093743086699
1290.0,148.95402298850576,6.8125,3.368326009763394
1295.0,148.9943181818182,6.6875,4.019009308927177
1300.0,148.70555555555555,6.875,3.623513365175859
1305.0,151.11797752808988,7.375,3.046900723273039
1310.0,147.33519553072625,7.0,3.020978627274785
1315.0,144.5977011494253,6.4375,3.876298794900003
1320.0,144.49122807017545,6.0,4.251780413135815
1325.0,147.05847953216374,5.25,4.759578717991602
1330.0,143.2514619883041,5.125,4.769864095485656
1335.0,144.67857142857142,5.3125,4.425113267962469
1340.0,147.3095238095238,5.4375,4.077567792153765
1345.0,135.94886363636363,6.0625,3.8309371789172375
1350.0,135.97093023255815,5.0,5.040394041185009
1355.0,137.00584795321637,5.0625,5.137521442821881
1360.0,136.94578313253012,5.375,4.62074973523438
1365.0,135.89285714285714,4.875,4.673551829770714
1370.0,135.1840490797546,4.4375,5.733118803653511
1375.0,133.54777070063693,4.8125,5.569650389233053
1380.0,133.6,4.875,4.9841614622529375
1385.0,131.2913907284768,5.0625,3.9650236029748966
1390.0,132.36486486486487,5.5625,3.8049295266037713
1395.0,127.58333333333333,5.8125,3.6374704784516276
1400.0,125.15172413793104,6.125,2.4831268813907426
1405.0,121.80263157894737,6.375,2.8765302681875844
1410.0,124.52980132450331,6.5,2.7925844246258795
1415.0,128.35333333333332,7.0,2.480515426214063
1420.0,128.7012987012987,7.125,2.2682304580318626
1425.0,131.81578947368422,6.8125,2.4907895716741137
1430.0,130.72108843537416,5.75,2.913696482096969
1435.0,128.51677852348993,5.25,3.998394000413309
1440.0,130.0810810810811,4.3125,4.887063225157645
1445.0,128.2317880794702,3.5,5.689920321492894
1450.0,123.2156862745098,4.1875,5.269411191301754
1455.0,122.42281879194631,4.375,4.995679921075384
1460.0,124.51700680272108,5.0,4.174184920884952
1465.0,123.81333333333333,5.6875,3.2640783762738868
1470.0,126.42953020134229,5.375,4.377890654241109
