net,arch,path,avg_wait_time,total_stopped,avg_speed,method,pr,category
MoCo,ppo,1.0,0.7515864714086471,1.894700139470014,6.599110644129365,MAPO-PPO,100%,MAPO-PPO/100%
MoCo,ppo,0.2,0.6580805439330544,2.3994072524407253,6.701157008864516,MAPO-PPO,20%,MAPO-PPO/20%
MoCo,ppo,0.2,0.6131589958158996,2.239539748953975,7.049162348495206,MAPO-PPO,20%,MAPO-PPO/20%
MoCo,ppo,0.2,0.7181380753138075,2.3155509065550905,6.831836479104551,MAPO-PPO,20%,MAPO-PPO/20%
MoCo,ppo,0.2,0.6882444211994421,2.450662482566248,6.6650368210607365,MAPO-PPO,20%,MAPO-PPO/20%
MoCo,ppo,0.2,0.6948587866108786,2.2984658298465828,6.830940774666796,MAPO-PPO,20%,MAPO-PPO/20%
MoCo,ppo,0.2,0.6138807531380753,2.1942119944211993,7.155720559729517,MAPO-PPO,20%,MAPO-PPO/20%
MoCo,ppo,0.2,0.83677649930265,2.5495118549511857,6.568291946725669,MAPO-PPO,20%,MAPO-PPO/20%
MoCo,ppo,0.2,0.590713040446304,2.2418061366806135,7.089316830101197,MAPO-PPO,20%,MAPO-PPO/20%
MoCo,ppo,0.2,0.702081589958159,2.2533124128312414,6.987776186100791,MAPO-PPO,20%,MAPO-PPO/20%
MoCo,ppo,0.2,0.6355404463040446,2.2099023709902372,7.046216603599829,MAPO-PPO,20%,MAPO-PPO/20%
MoCo,ppo,0.1,1.5643828451882844,3.8029986052998606,6.567844755664707,MAPO-PPO,10%,MAPO-PPO/10%
MoCo,ppo,0.1,1.1119961645746164,3.300557880055788,6.4826817583948335,MAPO-PPO,10%,MAPO-PPO/10%
MoCo,ppo,0.1,0.6825122036262204,2.7880055788005578,6.603903746408254,MAPO-PPO,10%,MAPO-PPO/10%
MoCo,ppo,0.1,1.3708559972106,3.6542887029288704,6.606438389626825,MAPO-PPO,10%,MAPO-PPO/10%
MoCo,ppo,0.1,0.6939156206415621,2.6954323570432357,6.947623677672919,MAPO-PPO,10%,MAPO-PPO/10%
MoCo,ppo,0.1,0.775284170153417,2.8200836820083683,6.745124168284293,MAPO-PPO,10%,MAPO-PPO/10%
MoCo,ppo,0.1,0.8041422594142259,2.8783124128312414,6.610456518263875,MAPO-PPO,10%,MAPO-PPO/10%
MoCo,ppo,0.1,0.8289173640167364,2.912308228730823,6.737588234414096,MAPO-PPO,10%,MAPO-PPO/10%
MoCo,ppo,0.1,0.820108089260809,2.948047419804742,6.737361238153236,MAPO-PPO,10%,MAPO-PPO/10%
MoCo,ppo,0.1,0.8926307531380755,2.9295676429567643,6.556925139303823,MAPO-PPO,10%,MAPO-PPO/10%
