t,wt,ql,sd,b3c3_sd,b3c3_ql
1335.0,41.01176470588236,2.1875,5.967737168758995,12.886844917305678,2
1340.0,41.09756097560975,1.9375,4.972915966052592,11.12257840541805,2
1345.0,36.81720430107527,2.625,5.30632403587684,4.818579992686829,2
1350.0,38.16304347826087,1.3125,6.891329476292634,13.89,2
1355.0,39.380434782608695,1.5,7.6466046078121055,13.89,2
1360.0,40.57608695652174,1.4375,6.646665317276353,13.89,2
1365.0,39.623655913978496,1.625,7.399135698961933,13.89,2
1370.0,38.25,1.5625,6.432784363069714,13.89,2
1375.0,38.69047619047619,1.875,6.628278130287358,13.89,2
1380.0,40.81012658227848,1.6875,5.920149922785447,13.89,2
1385.0,40.40506329113924,2.1875,5.675606326169822,13.89,2
1390.0,42.12658227848101,1.0625,6.5718986819476966,13.89,2
1395.0,39.58227848101266,1.0625,7.625199172994541,13.89,2
1400.0,38.67901234567901,0.6875,8.196336194009932,13.89,2
1405.0,35.68539325842696,0.8125,9.218624768211528,13.89,2
1410.0,35.87356321839081,1.3125,8.185296379729298,13.89,2
1415.0,35.86046511627907,1.5,7.534856202111539,13.89,2
1420.0,33.804597701149426,1.4375,6.2897910941707655,13.89,2
1425.0,35.50574712643678,1.9375,6.615177625259833,13.89,2
1430.0,34.94047619047619,1.6875,6.184975860716513,13.89,2
1435.0,34.172413793103445,1.5,6.936332314557955,13.89,2
1440.0,35.5,1.5625,6.918782197697153,13.89,2
1445.0,35.24444444444445,1.25,6.941053955494788,13.89,2
1450.0,34.67032967032967,1.25,7.093734832003148,13.89,2
1455.0,35.13333333333333,1.4375,7.471817414562084,13.89,2
1460.0,36.20224719101124,1.375,7.473767643987997,13.89,2
1465.0,35.449438202247194,2.375,5.976542610652994,13.89,2
1470.0,37.48275862068966,2.125,5.363737227747039,13.89,2
1475.0,38.32941176470588,2.25,6.230666026832444,13.89,2
1480.0,40.144578313253014,1.875,6.067303184793905,13.89,2
1485.0,37.05681818181818,1.25,7.667146456636872,13.89,2
1490.0,38.13953488372093,2.0,6.079779664799232,13.89,2
1495.0,39.023529411764706,2.3125,5.936603394284516,13.89,2
1500.0,39.08988764044944,1.625,6.639866266884686,13.89,2
1505.0,38.839080459770116,1.375,7.424141726321334,13.89,2
1510.0,38.82142857142857,1.6875,6.983435389090322,13.89,2
1515.0,37.294117647058826,2.0625,6.319245635735675,13.89,2
1520.0,38.548780487804876,1.8125,5.867308450141864,13.89,2
1525.0,37.785714285714285,2.125,6.496714770799114,13.89,2
1530.0,36.38095238095238,1.375,7.360035405534383,13.89,2
1535.0,35.975,0.875,8.213349274964255,13.89,2
1540.0,36.54545454545455,0.8125,7.362905973503779,13.89,2
1545.0,33.08974358974359,2.0,5.944156279194067,13.89,2
1550.0,32.6,1.9375,4.833604459681534,13.89,2
1555.0,32.77142857142857,2.3125,4.099035444359882,13.89,2
1560.0,35.63768115942029,1.9375,4.948645017105872,13.89,2
1565.0,35.166666666666664,1.0,7.357306095337909,13.89,2
1570.0,34.223684210526315,0.75,7.147894018797908,13.89,2
1575.0,35.04054054054054,0.9375,7.119561969254389,13.89,2
1580.0,34.16883116883117,1.4375,5.721005339413945,13.89,2
1585.0,35.71052631578947,2.0625,5.17418953072638,13.89,2
1590.0,37.82666666666667,2.3125,4.280710894267835,12.489332896490259,2
1595.0,37.70886075949367,1.6875,5.7019162806183425,12.511004653863907,2
1600.0,39.38461538461539,1.375,5.151988408847105,12.399692620216547,2
1605.0,37.258823529411764,1.375,5.6319286320126185,11.993292802971775,2
1610.0,38.01190476190476,1.875,5.050942817626238,9.26422721944543,3
1615.0,39.390243902439025,1.8125,5.283814852121292,9.49982117633238,3
1620.0,40.7037037037037,2.125,5.781310711054267,4.922090250809159,3
1625.0,40.43529411764706,1.875,5.9383766165203475,12.913344316110994,2
1630.0,40.329268292682926,1.1875,5.921414868475238,13.89,2
1635.0,41.5609756097561,1.4375,6.5625859847852075,13.89,2
1640.0,40.92307692307692,1.5,5.83671362960317,13.89,2
1645.0,41.18421052631579,1.875,5.35278267561764,13.89,2
1650.0,41.15,2.0625,4.592182507039512,13.89,2
1655.0,43.1625,1.875,6.014756967904768,13.89,2
1660.0,44.333333333333336,2.1875,5.527036726559502,12.33832125009575,2
1665.0,46.61538461538461,2.125,5.35267873503706,13.389791455447607,2
1670.0,47.98701298701299,1.8125,5.826724331564131,12.219772185013083,2
1675.0,43.74390243902439,2.0625,6.05965770656386,6.9999197686487795,3
1680.0,45.15,2.0,6.390602332270243,6.945,4
1685.0,45.94871794871795,2.25,5.813836598251611,1.8618028317774105,3
1690.0,47.51315789473684,2.3125,4.664704643704139,0.0,4
1695.0,49.85333333333333,2.1875,4.622306209056368,13.89,2
1700.0,49.66233766233766,2.4375,4.8138023835688895,13.89,2
1705.0,52.25675675675676,2.1875,5.667500181391847,13.89,2
1710.0,53.83561643835616,1.5,6.853173853527437,13.89,2
1715.0,54.859154929577464,0.8125,8.469923591814425,13.89,2
1720.0,53.82608695652174,0.75,7.779735577365427,13.89,2
1725.0,52.388888888888886,1.1875,6.196575457700947,13.89,2
1730.0,54.11267605633803,1.25,6.469954276735388,13.89,2
1735.0,55.95652173913044,0.75,7.517585701943174,13.89,2
1740.0,58.28787878787879,1.4375,7.238716058652603,13.89,2
1745.0,53.28378378378378,1.625,6.038826009006239,13.89,2
1750.0,54.74324324324324,1.8125,6.341738087667505,13.89,2
1755.0,56.054794520547944,1.25,6.999374946615956,13.89,2
1760.0,57.5,1.0,7.368161452683386,13.89,2
1765.0,58.84285714285714,0.875,8.022861577681793,13.89,2
1770.0,56.14492753623188,1.25,6.465020090230811,13.89,2
1775.0,58.029411764705884,1.5625,6.17928553801735,13.89,2
1780.0,59.96969696969697,1.75,5.786382491110409,13.89,2
1785.0,60.56923076923077,1.75,5.379737612536045,13.89,2
1790.0,62.484375,1.5625,6.1997040772075795,13.89,2
1795.0,60.55223880597015,1.1875,7.113406883483141,13.89,2
1800.0,62.04615384615385,1.3125,7.453672395855356,13.89,2
1805.0,56.80597014925373,1.75,6.085790121481547,13.89,2
1810.0,59.46153846153846,1.6875,5.1712574163703895,13.89,2
1815.0,59.95238095238095,1.0625,6.241669429239567,13.89,2
1820.0,59.03225806451613,1.0,8.163592184453373,13.89,2
1825.0,60.63333333333333,0.4375,9.678825498228587,13.89,2
1830.0,60.3859649122807,0.5625,9.216180013786067,13.89,2
1835.0,60.509803921568626,0.75,6.890816001302829,13.89,2
1840.0,57.97959183673469,1.0625,6.7984714886225674,13.89,2
1845.0,56.829787234042556,0.6875,7.396851757413047,13.89,2
1850.0,57.93617021276596,0.75,8.7151173119585,13.89,2
1855.0,56.093023255813954,0.625,8.045946008296028,13.89,2
1860.0,54.65853658536585,0.6875,7.900994311626903,13.89,2
1865.0,51.17948717948718,0.6875,7.373991860906361,13.89,2
1870.0,48.64705882352941,0.4375,8.056206123295043,13.89,2
1875.0,44.432432432432435,0.5,8.070163741555977,13.89,2
1880.0,41.4,0.5625,7.473880768225195,13.89,2
1885.0,37.28125,0.4375,7.299304293195409,13.89,2
1890.0,38.83870967741935,0.6875,6.777658739281267,13.89,2
1895.0,36.3,0.625,6.677304155401155,13.89,2
1900.0,37.6,0.5,7.0874654771589105,13.89,2
1905.0,38.6,0.375,8.081609982464046,13.89,2
1910.0,38.10344827586207,0.25,9.157023493778329,13.89,2
1915.0,37.42307692307692,0.4375,8.216606332475008,13.89,2
1920.0,38.608695652173914,0.375,6.121663664003973,4.393169666253167,0
1925.0,38.81818181818182,0.625,6.036716406140411,14.017123737868392,1
1930.0,41.095238095238095,0.4375,6.087049849463607,13.89,1
1935.0,42.523809523809526,0.3125,7.9402223413950965,13.89,1
1940.0,44.4,0.0625,9.952283695182192,12.367990489811644,1
1945.0,35.869565217391305,0.4375,7.59872432209028,12.511535379972782,1
1950.0,36.82608695652174,0.4375,7.180313586627203,13.043653872965377,1
1955.0,38.0,0.25,7.862998859608528,4.6373030799988575,2
1960.0,36.19047619047619,0.25,9.533761159468783,4.630076070187761,2
1965.0,34.1,0.1875,9.391142179498537,13.89,1
1970.0,35.526315789473685,0.125,9.39879359842524,13.89,1
1975.0,35.388888888888886,0.125,7.993490468499,13.89,1
1980.0,33.625,0.125,9.800302664831147,13.89,1
1985.0,33.875,0.125,10.687535623427499,13.89,1
1990.0,34.86666666666667,0.125,8.595571176319936,13.89,1
1995.0,34.42857142857143,0.3125,6.762501927891883,13.89,1
2000.0,38.0,0.375,5.340015889997049,13.89,1
2005.0,39.53846153846154,0.25,6.308365301981004,13.89,1
2010.0,36.916666666666664,0.1875,7.825174247874368,13.89,1
2015.0,37.583333333333336,0.125,9.409113156829813,13.89,1
2020.0,38.083333333333336,0.1875,9.290063109265471,13.89,1
2025.0,39.90909090909091,0.1875,6.269202776343196,13.89,1
2030.0,35.666666666666664,0.25,6.227106620697388,13.89,1
2035.0,37.333333333333336,0.25,4.627231680230313,13.89,1
2040.0,36.25,0.3125,4.487581312127201,13.89,1
2045.0,38.75,0.3125,3.7966118884702356,13.89,1
2050.0,41.25,0.3125,3.8903279645439404,13.89,1
2055.0,43.75,0.3125,3.9388068163096666,13.89,1
2060.0,46.25,0.3125,4.65276739768048,13.89,1
2065.0,49.0,0.375,3.151513089026348,13.89,1
2070.0,52.125,0.375,2.9979331928757245,13.89,1
2075.0,55.25,0.375,2.3694032202840587,13.89,1
2080.0,60.142857142857146,0.25,3.8164232153880784,13.89,1
2085.0,62.0,0.1875,6.106756284953344,13.89,1
2090.0,63.42857142857143,0.1875,7.2479576427550665,13.89,1
2095.0,64.85714285714286,0.1875,6.760601272573156,13.89,1
2100.0,66.28571428571429,0.1875,6.665124018471715,13.89,1
2105.0,72.6,0.25,2.222303025128888,13.89,1
2110.0,60.0,0.1875,1.5607675234984204,13.89,1
2115.0,62.5,0.1875,2.724082503227072,13.89,1
2120.0,65.0,0.1875,2.8563310442762657,13.89,1
2125.0,67.5,0.1875,2.5964435809503983,13.89,1
2130.0,70.0,0.1875,3.1302791703995525,13.89,1
2135.0,72.5,0.1875,2.57870293873504,13.89,1
2140.0,90.0,0.1875,0.0,13.89,1
2145.0,93.33333333333333,0.1875,0.0,13.89,1
2150.0,96.66666666666667,0.1875,0.0,13.89,1
2155.0,100.0,0.1875,0.0,13.89,1
2160.0,103.33333333333333,0.1875,0.0,13.89,1
